City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
50,Kaitangata,NZ,-46.2817,169.8464,57.11,96,38,3.62,scattered clouds
51,Saint George,US,37.1041,-113.5841,37.99,74,0,10.36,clear sky
52,Oneida,US,43.2001,-75.4663,39.79,93,100,1.01,overcast clouds
53,Yellowknife,CA,62.456,-114.3525,5.56,78,100,19.57,overcast clouds
54,Dunedin,NZ,-45.8742,170.5036,59.81,92,15,3.94,few clouds
55,Torbay,CA,47.6666,-52.7314,17.38,73,75,24.16,broken clouds
56,Serdobsk,RU,52.4586,44.2169,24.76,86,100,14.25,overcast clouds
57,Sapouy,BF,11.5544,-1.7736,102.61,7,9,11.43,clear sky
58,Longyearbyen,SJ,78.2186,15.6401,26.44,93,100,16.11,light snow
59,Benguela,AO,-12.5763,13.4055,82.09,63,85,7.67,overcast clouds
60,Georgetown,MY,5.4112,100.3354,84.13,83,20,2.3,light rain
61,Saint-Philippe,RE,-21.3585,55.7679,85.59,78,60,4.41,broken clouds
62,Tuatapere,NZ,-46.1333,167.6833,54.57,88,4,4.0,clear sky
63,Fare,PF,-16.7,-151.0167,81.09,74,100,8.97,light rain
64,Ulladulla,AU,-35.35,150.4667,68.43,82,100,4.41,moderate rain
65,Kuala Lipis,MY,4.1842,102.0468,71.69,99,100,1.54,overcast clouds
66,Andrychow,PL,49.855,19.3383,48.33,68,0,4.16,clear sky
67,Port Lincoln,AU,-34.7333,135.8667,63.37,70,0,15.64,clear sky
68,Okhotsk,RU,59.3833,143.3,-17.36,92,32,4.52,scattered clouds
69,Pontian Kecil,MY,1.4801,103.3899,78.39,91,100,6.02,overcast clouds
70,Barrow,US,71.2906,-156.7887,-18.38,76,0,9.22,clear sky
71,Fortuna,US,40.5982,-124.1573,33.35,96,75,0.0,broken clouds
72,Tuktoyaktuk,CA,69.4541,-133.0374,-25.55,100,56,8.34,broken clouds
73,Mezen,RU,65.8522,44.24,6.49,98,100,1.77,overcast clouds
74,Palmeirais,BR,-5.9778,-43.0633,89.78,49,4,2.64,clear sky
75,Saskylakh,RU,71.9167,114.0833,-22.02,99,47,8.23,scattered clouds
76,Canela,BR,-29.3656,-50.8156,78.28,78,70,1.99,broken clouds
77,Pochutla,MX,15.7432,-96.4661,69.62,74,62,3.98,broken clouds
78,Beringovskiy,RU,63.05,179.3167,-17.91,94,98,6.73,overcast clouds
79,Coxim,BR,-18.5067,-54.76,83.77,67,79,5.41,broken clouds
80,Liverpool,GB,53.4106,-2.9779,46.62,71,75,6.91,broken clouds
81,Hayden,US,47.766,-116.7866,30.43,90,100,10.36,snow
82,Arraial Do Cabo,BR,-22.9661,-42.0278,85.86,62,0,18.41,clear sky
83,Batagay,RU,67.6333,134.6333,-43.06,99,76,3.96,broken clouds
84,Bluff,NZ,-46.6,168.3333,59.34,87,25,3.71,scattered clouds
85,Puerto Ayora,EC,-0.7393,-90.3518,75.54,94,19,2.51,few clouds
86,Dikson,RU,73.5069,80.5464,-0.18,98,96,6.73,overcast clouds
87,Hithadhoo,MV,-0.6,73.0833,81.32,75,98,5.12,overcast clouds
88,Tukrah,LY,32.5341,20.5791,64.45,68,0,9.73,clear sky
89,Aguimes,ES,27.9054,-15.4461,68.63,68,20,19.57,few clouds
90,Bethel,US,41.3712,-73.414,37.89,87,100,5.75,fog
91,Lavrentiya,RU,65.5833,-171.0,-23.3,91,36,5.12,scattered clouds
92,Gijon,ES,43.5357,-5.6615,54.0,58,6,7.0,clear sky
93,Sungurlu,TR,40.1675,34.3739,59.67,58,100,5.82,overcast clouds
94,Phan Thiet,VN,10.9333,108.1,74.53,72,8,15.73,clear sky
95,Hopewell,US,37.3043,-77.2872,56.21,95,100,3.83,light rain
96,Jamestown,US,42.097,-79.2353,36.01,96,100,4.61,overcast clouds
97,Albany,US,42.6001,-73.9662,37.38,93,100,0.43,snow
98,Nikolskoye,RU,59.7035,30.7861,37.78,86,81,12.46,broken clouds
99,Najran,SA,17.4924,44.1277,81.27,21,49,15.3,scattered clouds
100,Tiksi,RU,71.6872,128.8694,-26.84,99,89,7.81,overcast clouds
101,Irawan,PH,9.8012,118.6923,77.94,83,100,7.31,overcast clouds
102,Kloulklubed,PW,7.0419,134.2556,77.5,74,100,11.65,overcast clouds
103,Dori,BF,14.0354,-0.0345,99.48,8,62,12.19,broken clouds
